City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
613,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
614,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
616,Vangaindrano,MG,75.02,light rain,-23.35,47.6,Hotel Fanilo
623,Witu,KE,82.56,few clouds,-2.3889,40.4382,
627,Suba,PH,80.17,overcast clouds,10.8438,121.0102,Jarnchi Pension House
630,Gorom-Gorom,BF,77.29,overcast clouds,14.4439,-0.2361,
633,Villahermosa,MX,86.07,clear sky,17.9833,-92.9167,Olmeca Plaza
635,Port Keats,AU,80.28,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
638,Luganville,VU,79.74,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
639,Pangoa,PE,83.16,overcast clouds,-12.1167,-73.0,
648,Xuddur,SO,76.14,few clouds,4.1213,43.8894,Banjanay Hotel
654,San Antonio,US,82.9,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
657,Kloulklubed,PW,79.3,few clouds,7.0419,134.2556,Storyboard Beach Resort
659,Nzerekore,GN,80.82,overcast clouds,7.7562,-8.8179,Hotel de la Gare & Germanho Club
661,Atambua,ID,75.29,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
663,Ipameri,BR,87.55,broken clouds,-17.7219,-48.1597,Real Hotel
666,Klaeng,TH,77.9,clear sky,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
