City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
400,Nago,26.5881,127.9761,66.27,58,56,12.77,JP,2021-12-08 18:54:27
401,Cayenne,4.9333,-52.3333,80.64,89,75,7.0,GF,2021-12-08 18:54:27
402,Palmer,42.1584,-72.3287,36.64,54,90,1.01,US,2021-12-08 18:54:28
403,Sao Filipe,14.8961,-24.4956,77.67,63,100,8.75,CV,2021-12-08 18:54:28
404,Buala,-8.145,159.5921,79.79,86,100,7.34,SB,2021-12-08 18:54:28
405,Tasiilaq,65.6145,-37.6368,30.2,93,100,36.19,GL,2021-12-08 18:54:29
406,Harrismith,-28.2728,29.1295,57.06,75,100,0.29,ZA,2021-12-08 18:54:29
407,Smithers,54.7804,-127.1743,14.32,92,75,3.44,CA,2021-12-08 18:55:30
408,Broken Hill,-31.95,141.4333,53.31,47,0,11.5,AU,2021-12-08 18:55:30
409,Havre-Saint-Pierre,50.2334,-63.5986,12.79,61,1,17.27,CA,2021-12-08 18:55:30
410,Tarakan,3.3,117.6333,78.3,94,75,2.3,ID,2021-12-08 18:55:31
411,Dingle,10.9995,122.6711,75.6,90,100,12.8,PH,2021-12-08 18:55:31
412,Trabzon,40.9167,39.8333,60.89,37,75,10.36,TR,2021-12-08 18:55:31
413,Marabba,12.35,32.1833,84.4,24,0,12.26,SD,2021-12-08 18:55:32
414,Meulaboh,4.1363,96.1285,77.83,86,98,2.48,ID,2021-12-08 18:55:32
415,Nalut,30.3333,10.85,53.64,22,71,10.83,LY,2021-12-08 18:55:32
416,Yatou,37.15,122.3833,44.4,72,100,2.86,CN,2021-12-08 18:55:33
417,Pacifica,37.6138,-122.4869,57.42,93,90,1.01,US,2021-12-08 18:55:33
418,Sayville,40.7359,-73.0821,42.96,93,90,1.01,US,2021-12-08 18:55:33
419,Sao Miguel Do Araguaia,-13.275,-50.1628,81.12,78,39,5.14,BR,2021-12-08 18:52:16
420,King City,36.2127,-121.126,59.81,67,13,1.19,US,2021-12-08 18:55:34
421,Maragogi,-9.0122,-35.2225,83.52,67,7,11.25,BR,2021-12-08 18:55:34
422,Husavik,66.0449,-17.3389,15.71,66,4,15.82,IS,2021-12-08 18:54:01
423,Howard Springs,-12.497,131.047,82.31,97,49,1.36,AU,2021-12-08 18:55:35
424,Brigantine,39.4101,-74.3646,42.15,74,100,5.12,US,2021-12-08 18:54:03
